iter	Passed	Remaining
545	367713	305754
546	368353	305052
547	368993	304352
548	369632	303650
549	370251	302933
550	370847	302196
551	371498	301505
552	372061	300744
553	372600	299963
554	373197	299230
555	373820	298518
556	374466	297825
557	375167	297175
558	375893	296546
559	376606	295905
560	377230	295194
561	377936	294548
562	378598	293867
563	379230	293163
564	379878	292472
565	380522	291778
566	381144	291067
567	381825	290402
568	382485	289721
569	383140	289036
570	383782	288340
571	384541	287733
572	385265	287100
573	385945	286433
574	386600	285747
575	387346	285130
576	388064	284491
577	388812	283873
578	389461	283183
579	389988	282405
580	390522	281633
581	391193	280960
582	391816	280253
583	392452	279555
584	393045	278827
585	393632	278095
586	394271	277400
587	394885	276688
588	395576	276030
589	396366	275441
590	397147	274844
591	398061	274339
592	399033	273873
593	400362	273648
594	401163	273061
595	401988	272489
596	402869	271953
597	403729	271403
598	404584	270848
599	405426	270284
600	406119	269620
601	406972	269061
602	407781	268472
603	408479	267810
604	409128	267116
605	409809	266443
606	410585	265831
607	411283	265169
608	411861	264429
609	412572	263776
610	413347	263162
611	414234	262619
612	415238	262149
613	415906	261465
614	416652	260831
615	417361	260173
616	418015	259481
617	418642	258772
618	419342	258108
619	419974	257403
620	420641	256719
621	421353	256063
622	422013	255375
623	422676	254689
624	423389	254033
625	424189	253429
626	424861	252748
627	425527	252064
628	426285	251433
629	427019	250789
630	427791	250166
631	428508	249511
632	429214	248849
633	429888	248169
634	430651	247539
635	431425	246916
636	432112	246243
637	432719	245524
638	433320	244802
639	433934	244088
640	434612	243410
641	435256	242712
642	436041	242094
643	436804	241463
644	437489	240788
645	438148	240099
646	438821	239418
647	439562	238774
648	440306	238131
649	440981	237451
650	441665	236776
651	442293	236070
652	442914	235362
653	443586	234680
654	444298	234020
655	444873	233287
656	445551	232608
657	446114	231871
658	446712	231151
659	447318	230436
660	447927	229723
661	448684	229086
662	449446	228451
663	450026	227724
664	450653	227020
665	451233	226294
666	451857	225589
667	452452	224871
668	453122	224190
669	453664	223446
670	454310	222754
671	454847	222009
672	455408	221275
673	456000	220557
674	456656	219871
675	457247	219153
676	457921	218476
677	458537	217771
678	459126	217053
679	459697	216328
680	460344	215638
681	460944	214927
682	461558	214222
683	462154	213509
684	462815	212827
685	463531	212170
686	464364	211566
687	465276	210997
688	465903	210298
689	466627	209644
690	467566	209085
691	468563	208551
692	469591	208029
693	470486	207448
694	471375	206862
695	472041	206179
696	472791	205531
697	473507	204870
698	474356	204265
699	475087	203608
700	475761	202928
701	476621	202326
702	477354	201670
703	477992	200974
704	478690	200303
705	479345	199614
706	480047	198944
707	480714	198260
708	481455	197607
709	482317	197002
710	483092	196362
711	483816	195701
712	484570	195051
713	485299	194391
714	486038	193735
715	486830	193100
716	487531	192428
717	488206	191746
718	488860	191056
719	489506	190363
720	490316	189734
721	491138	189108
722	491801	188421
723	492774	187853
724	493461	187174
725	494090	186474
726	494709	185771
727	495335	185070
728	496024	184393
729	496742	183726
730	497539	183089
731	498212	182405
732	498882	181721
733	499499	181017
734	500294	180378
735	501342	179829
736	502335	179259
737	503368	178702
738	504349	178126
739	505483	177602
740	506284	176960
741	506970	176278
742	507765	175633
743	508630	175012
744	509332	174335
745	510216	173719
746	511182	173131
747	511898	172457
748	512645	171794
749	513459	171153
750	514174	170478
751	514821	169781
752	515397	169061
753	516218	168421
754	516967	167757
755	517734	167099
756	518528	166449
757	519379	165817
758	520526	165279
759	521280	164614
760	521910	163911
761	522622	163233
762	523276	162538
763	524022	161870
764	524596	161150
765	525329	160479
766	525992	159786
767	526621	159083
768	527288	158392
769	527871	157676
770	528505	156975
771	529163	156281
772	529828	155590
773	530492	154898
774	531167	154209
775	532054	153582
776	532766	152904
777	533424	152211
778	534112	151526
779	534783	150836
780	535394	150129
781	536049	149435
782	536679	148734
783	537425	148066
784	538172	147397
785	538962	146740
